Post ID,Title,Publish Date
oi5y2k,attention all apes,2021-07-11 07:57:43
oi5ztu,richard branson takes to the skies in flight to space,2021-07-11 08:00:18
oi66lf,is it possible to make shiba inu the next meme stock,2021-07-11 08:10:27
oi66xv,cielo waste solutions corp,2021-07-11 08:10:58
oi686v,hitmans wifes boyfriend,2021-07-11 08:12:51
oi68pc,i am batman,2021-07-11 08:13:40
oi692q,safe and secure way to make doubletriple your profits,2021-07-11 08:14:12
oi6alz,money amulet,2021-07-11 08:16:35
oi6blv,$k stmp gain on $k investment,2021-07-11 08:18:04
oi6bzl,protocol swap matic ltgt bsc,2021-07-11 08:18:40
oi6crc,$k stmp gain on $k investment,2021-07-11 08:19:52
oi6dmm,they still dont get it we are not leaving not financial advice,2021-07-11 08:21:14
oi6e0t,tryin to meet new stonk requirements,2021-07-11 08:21:50
oi6fo7,oh kenny you knew better,2021-07-11 08:24:16
oi6gb6,spce ğŸš€ğŸš€ğŸš€ğŸš€ğŸš€ğŸš€ğŸš€ğŸš€,2021-07-11 08:25:13
oi6kr8,ahem,2021-07-11 08:31:54
oi6m44,my portfolio,2021-07-11 08:34:05
oi6o8a,protocol swap matic bsc,2021-07-11 08:37:22
oi6oir,$spce the flight was successful ğŸš€ğŸš€ğŸš€,2021-07-11 08:37:47
oi6p39,theres no spaceship mode on cell phones,2021-07-11 08:38:41
oi6t7b,what if,2021-07-11 08:45:00
oi6ts4,i paid for my year college tuition at cornell university yoloing weekly options this month stocks only go up right i have no idea what im doing,2021-07-11 08:45:51
oi6tzr,spce,2021-07-11 08:46:11
oi6u23,richard branson reaches space on virgin galactic flight,2021-07-11 08:46:16
oi6vcc,$spce bull or bear,2021-07-11 08:48:12
oi6wh0,spce for the love of money official audio,2021-07-11 08:50:02
oi6wul,what now flat earth earthers,2021-07-11 08:50:34
oi6yhr,spce to da mooonğŸš€ğŸš€ğŸš€ğŸš€ğŸš€,2021-07-11 08:53:14
oi71pv,any retards buying spce tomorrow,2021-07-11 08:58:25
oi73wg,any retards buying spce tomorrow,2021-07-11 09:01:26
oi74gg,$spce lets go,2021-07-11 09:02:17
oi7562,snow,2021-07-11 09:03:23
oi75ek,let go to the moooooon singing $spce,2021-07-11 09:03:46
oi75u3,spce going to explode tomorrow thoughts,2021-07-11 09:04:26
oi76b8,plenty of supporting evidence,2021-07-11 09:05:07
oi775v,rcinedigm next big move,2021-07-11 09:06:26
oi77qc,negg is manipulated it was the th most discussed stock on reddit last week and generated negative sentiment and yet it still out performed other meme stocks smells like hedgies,2021-07-11 09:07:18
oi793v,virgin galactic ğŸ” ğŸ™ŒğŸ’ ğŸ“ˆğŸš€,2021-07-11 09:09:24
oi79a9,$clov support from wows â˜˜ï¸ğŸš€,2021-07-11 09:09:41
oi79fe,what is everyones take on figs scrub stock i invested a bit over and im up since it went public should i hold onto it,2021-07-11 09:09:52
oi79xi,$clov support from wows â˜˜ï¸ğŸš€,2021-07-11 09:10:39
oi7af2,amc box office and ufc tickets,2021-07-11 09:11:22
oi7ahz,do you think virgin galactic spce is gonna jump tomorrow,2021-07-11 09:11:28
oi7b0g,otc markets president amp ceo cromwell coulson iii explains the otc markets not just penny stocks anymore,2021-07-11 09:12:13
oi7bs2,what is everyones take on figs scrubs stock i bought the stock when it became public im up now since then,2021-07-11 09:13:23
oi7cag,me with $ and shares to my name,2021-07-11 09:14:10
oi7cfl,virgin galactic ğŸ” ğŸ™ŒğŸ’ ğŸ“ˆğŸš€,2021-07-11 09:14:23
oi7ciy,my spce story,2021-07-11 09:14:31
oi7e9g,$clov support from the wolf of wallstreet â˜˜ï¸ğŸš€,2021-07-11 09:17:14
oi7ees,ğŸ¦ğŸ’ªğŸ”¥ğŸ’¯ğŸ‘ŠğŸ¤‘ neversell hodl,2021-07-11 09:17:26
oi7f4l,$clov support from the wolf of wallstreet â˜˜ï¸ğŸš€,2021-07-11 09:18:30
oi7f51,what is everyones take on figs scrubs stock i bought into it when it first became public should i hold onto it,2021-07-11 09:18:31
oi7f9u,my view on spce,2021-07-11 09:18:42
oi7hd7,exela technologies xela,2021-07-11 09:21:51
oi7irl,branson virgin galactic crew pull off key test flight to space,2021-07-11 09:23:56
oi7jai,i was told to invest in what i believe in video games weed bikinis and movies ğŸ’ğŸ¤²ğŸ“‰ why because fuck the shorts ğŸ¦ğŸš€ğŸŒ,2021-07-11 09:24:45
oi7jb7,cramer telling folks get as many didi shares before ipo vs investors shoyld stay away from didi after ipo,2021-07-11 09:24:47
oi7lh7,tata motors,2021-07-11 09:28:16
oi7mi1,virgin galactic,2021-07-11 09:29:54
oi7p70,$aal $alk,2021-07-11 09:34:11
oi7rem,dont be stupid do not buy $spce,2021-07-11 09:37:37
oi7rzw,they told me it belongs here $ag gamma squeeze potential,2021-07-11 09:38:30
oi7txx,cramer telling folks get as many didi shares before ipo vs investors should stay away from didi after ipo,2021-07-11 09:41:26
oi7v4u,$nlst netlist your thoughts,2021-07-11 09:43:15
oi7v9g,trading addiction test,2021-07-11 09:43:27
oi7yxz,netlist $nlst,2021-07-11 09:48:55
oi7z2x,if youre bullish on crpt payments disrupting finance,2021-07-11 09:49:07
oi8055,shouldnt have sold so early my amc stocks damnit,2021-07-11 09:50:40
oi822m,historic moment for $spac first flight by virgin galactic with sir richard branson,2021-07-11 09:53:31
oi824j,$tpst we all in this together need everyone to buy and hold this tomorrow and next week squeeze incoming lets get those tendies together ğŸš€ğŸš€ğŸš€,2021-07-11 09:53:36
oi82p6,do your own dd on $nlst,2021-07-11 09:54:29
oi861q,keep an eye on $aei tomorrow thanks elon ğŸ¤™,2021-07-11 09:59:48
oi8677,amc squeeze question,2021-07-11 10:00:00
oi86kw,praise lord richie branson for that beautiful green line to the moon,2021-07-11 10:00:22
oi86n1,sir richard everyone,2021-07-11 10:00:27
oi87v3,gme,2021-07-11 10:02:10
oi89q8,aroooooo,2021-07-11 10:05:00
oi8cew,atnf back on the market annual report finally released,2021-07-11 10:08:57
oi8cjm,i just received a text from a friend suggesting to invest in spce virgin galactic holdings inc after todays successful launch ğŸš€ is it a good idea,2021-07-11 10:09:08
oi8dv2,,2021-07-11 10:11:11
oi8eaw,,2021-07-11 10:11:50
oi8ecx,have u guys checked this amazing hind hd gaming online its mind blowing,2021-07-11 10:11:55
oi8f3p,spce institutions ownership low,2021-07-11 10:13:02
oi8fxu,a gamma squeeze play with incredible potential,2021-07-11 10:14:21
oi8g9n,praise lord richie branson for that beautiful green line to the moon,2021-07-11 10:14:49
oi8guw,dream token to the moonğŸš€ğŸš€ğŸš€,2021-07-11 10:15:38
oi8i0l,alright which one of you live in tennessee,2021-07-11 10:17:19
oi8k6d,tslaready to take up,2021-07-11 10:20:27
oi8klw,$mile is moon ready and blackrock is in ğŸš€,2021-07-11 10:21:06
oi8m5b,$ yolo on spce,2021-07-11 10:23:30
oi8noa,black widow is a great movie,2021-07-11 10:25:52
oi8p1g,$k yolo on spce,2021-07-11 10:28:01
oi8qj1,loss porn,2021-07-11 10:30:16
oi8s7t,when you see the heavy loss porn on wsb regarding levis then start digging for reasons why,2021-07-11 10:32:57
oi8sud,clov the good news just keeps coming you know what to do,2021-07-11 10:33:57
oi8tt3,all aboard $coin a blowout quarter is coming ğŸš€ğŸš€ğŸš€ğŸš€,2021-07-11 10:35:23
oi8ucp,meme stocks are going to be going and favourite is one in the right corner ğŸ¤‘,2021-07-11 10:36:15
oi8vbq,just a silly ape wanting to go to spce ğŸš€,2021-07-11 10:37:39
oi8vn2,the meme stock trade is far from over favourite one in the right corner ğŸ¤‘,2021-07-11 10:38:08
oi8wla,all aboard coinbase $coin a blowout er approaches aug th ğŸš‚ğŸš‚ğŸš‚ğŸš‚ğŸš‚,2021-07-11 10:39:37
oi8wwo,to $pce,2021-07-11 10:40:07
oi8y6l,all aboard coinbase $coin for a blowout er ğŸš‚ğŸš€ğŸš‚ğŸš€ğŸš‚,2021-07-11 10:42:01
oi8ywa,clov many positive catalysts yet the price is falling,2021-07-11 10:43:03
oi8za6,omaze and sir richard branson to make history by sending two people to space aboard a virgin galactic flight,2021-07-11 10:43:35
oi8zr1,ğŸš€ğŸš€ğŸš€ğŸš€should have sold on thursday spce yolo ğŸš€ğŸš€ğŸš€,2021-07-11 10:44:15
oi90v3,solar integrated roofing corp,2021-07-11 10:45:56
oi910d,the growth has peaked for sampp us stocks,2021-07-11 10:46:08
oi91k6,saw this gme gem yesterday,2021-07-11 10:46:59
oi91tx,losing premium,2021-07-11 10:47:24
oi93b4,saw this gme gem yesterday,2021-07-11 10:49:36
oi93zk,is td ameritrade trying to screw me over,2021-07-11 10:50:33
oi94d0,literally people who didnt buy spce on friday,2021-07-11 10:51:08
oi958a,spotted in kingston ontario ğŸš€,2021-07-11 10:52:26
oi95e5,three separate people confessed and they were trying to build a case against me beforehand,2021-07-11 10:52:39
oi95px,a new way of policing,2021-07-11 10:53:09
oi95zc,ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’spce ğŸ’amc ğŸ’gmeğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’ğŸ’,2021-07-11 10:53:34
oi980u,help finding good stocks to start,2021-07-11 10:56:43
oi9a4f,ğŸš€$reusablerocketcoin $rrr is going to change they way you look at tokens ğŸš€ presale starts tueday july am est ğŸš€ğŸš€,2021-07-11 10:59:50
oi9a5n,what high interest rates could mean for different industries,2021-07-11 10:59:54
oi9exa,getting past the poop to the rocket ship to the moon,2021-07-11 11:06:36
oi9f6v,slrx research and technical analysis,2021-07-11 11:07:01
oi9ffx,torrid holdings,2021-07-11 11:07:22
oi9iz7,tsoi biotech penny stock w new trial data,2021-07-11 11:12:42
oi9j1m,$dpls,2021-07-11 11:12:50
oi9jia,bbig merger this weekğŸ¤‘ğŸ¤‘ already up in post market,2021-07-11 11:13:32
oi9kxb,bernie trying to stick it to the hedgies,2021-07-11 11:15:38
oi9loj,bbig merger coming up this week ğŸ’°ğŸ’°ğŸ’° already up percent post market what do yall think what should be a price target for bbig can we be expecting x gains im sorry for asking so many questions im a retard,2021-07-11 11:16:50
oi9lvn,encouragement positivity and belief a brief reminder and inspirer,2021-07-11 11:17:08
oi9na0,bbig merger coming up this week ğŸ’°ğŸ’°ğŸ’° already up percent post market what do yall think what should be a price target for bbig can we be expecting x gains im sorry for asking so many questions im a retard,2021-07-11 11:19:20
oi9o44,if $spce hits $ tomorrow ill get a rocket tattoo,2021-07-11 11:20:33
oi9qvu,seen this morning on rhe fwy,2021-07-11 11:24:36
oi9rdo,question,2021-07-11 11:25:22
oi9sjx,virgin galactics richard branson reaches space in test flight part of furious space tourism race,2021-07-11 11:27:17
oi9tlo,will the amc squeeze happen this week strong possibility imo,2021-07-11 11:28:53
oi9tt4,best broker for eu citizen,2021-07-11 11:29:14
oi9v6y,anyone heard anything about enron lately,2021-07-11 11:31:14
oi9vsx,strike price for options is on we got this make the hedges bleed,2021-07-11 11:32:06
oi9ws2,money making tips,2021-07-11 11:33:38
oi9wwj,retard inclusive littlepeople childrens toy,2021-07-11 11:33:48
oi9wyt,spy free money,2021-07-11 11:33:55
oi9xpu,celsci,2021-07-11 11:35:06
oi9yne,spy calls,2021-07-11 11:36:27
oi9z0y,amc to the moon this week wet got over million worth of options for the strike price of on lets make this hedges bleed for what its worth and become financial free anybody with me,2021-07-11 11:36:59
oia185,posted in wsb elitethey didnt get it maybe you apes will,2021-07-11 11:40:13
oia1r0,will amzn split now that we have new ceo,2021-07-11 11:40:59
oia1u8,lets talk about spy,2021-07-11 11:41:07
oia1x1,historical post earnings moves mega compilation q week $jpm $gs $wfc $bac $ms $tsm and more,2021-07-11 11:41:14
oia2cj,bitfgncombitcoinexchangebitcoinprice,2021-07-11 11:41:52
oia2lm,duolingo upcoming ipo been waiting since i was hodl,2021-07-11 11:42:14
oia2rl,meme stocks are only worth shortingscalping not longevity,2021-07-11 11:42:29
oia4mm,how do i explain this to my dad,2021-07-11 11:45:13
oia4ps,pgtk,2021-07-11 11:45:22
oia525,cvm will take off this week perfect storm and hedgies have a lot to cover,2021-07-11 11:45:51
oia6fl,hoping for this spce rocket to moonshot tomorrow,2021-07-11 11:47:56
oia6l6,amzn split,2021-07-11 11:48:09
oia86s,bullish af fitting steam summer sale reward monke smrt,2021-07-11 11:50:37
oia9kw,pgtk,2021-07-11 11:52:39
oia9rd,$coin looks pretty cheap right now,2021-07-11 11:52:56
oiaa0h,yolo spce to the moon dont mind the puts,2021-07-11 11:53:17
oiag09,my sister is friends with a hedge fund manager at citadel in london,2021-07-11 12:02:03
oiagaf,bombardier buy this stock great progression they are currently reducing their debt and theyre selling private jets like never before to the moon,2021-07-11 12:02:30
oiagag,bombardier buy this stock great progression they are currently reducing their debt and theyre selling private jets like never before to the moon,2021-07-11 12:02:30
oiah8n,thoughts on spce,2021-07-11 12:04:01
oiajmh,was it worth the riskâ€¦ find out on the next episode of tendies for lambos,2021-07-11 12:08:01
oiakis,did anyone notice his shirt lastnight,2021-07-11 12:09:25
oial26,woke up to this if only it was green whyyy o why isnt it green,2021-07-11 12:10:14
oialb2,space like internet,2021-07-11 12:10:39
oialul,imo gsat is moa$$ because,2021-07-11 12:11:30
oiamp2,aht ğŸš€ğŸš€ğŸš€,2021-07-11 12:12:53
oian0i,riding into earning season like,2021-07-11 12:13:24
oian37,with the biden administration investing heavily in renewable energy infrastructure renewable energy companies stock prices have been soaring mainly i have been looking into solar first its q earnings report has seen over increase from last years q earningsi am going longğŸš€,2021-07-11 12:13:32
oiao71,big merger talks in sun valley for $viac,2021-07-11 12:15:18
oiaobe,to all apes holding amc right now how yall feeling about this week,2021-07-11 12:15:31
oiaors,worst scam ever dont fall for the pumps,2021-07-11 12:16:10
oiaova,$viac merger news,2021-07-11 12:16:17
oiap41,amc,2021-07-11 12:16:41
oiapfh,$tpst check this out,2021-07-11 12:17:14
oiaprc,sofi weakened by student loan freeze recent rumours didnt help revenues could inevitably suffer that explains the many shorts positions on sofi time to reconsider or to go all in and make them pay ğŸ¤” ğŸ‘‰ğŸ»ğŸ‘€,2021-07-11 12:17:43
oiaupx,me and the wife did a thing this weekend ğŸ¤ªğŸ’ğŸ™ŒğŸ¿ğŸ¦,2021-07-11 12:25:30
oiauqq,going long on solar first ğŸš€ğŸš€,2021-07-11 12:25:32
oiavam,anyone have any opinions on doximity $docs,2021-07-11 12:26:25
oiavlg,live feed from the flight spce to the moon,2021-07-11 12:26:55
oiawtg,going long on solar first ğŸš€ğŸš€,2021-07-11 12:28:56
oiaxk6,live feed from the flight spce to the fucken moon,2021-07-11 12:30:06
oiayqr,taco the next squeeze up up up,2021-07-11 12:31:56
oib0u9,anyone have any opinions on doximity $docs,2021-07-11 12:35:16
oib14h,i wonder if hes one of us,2021-07-11 12:35:45
oib1mp,micron technology,2021-07-11 12:36:32
oib1ty,taco the next squeeze nothing but good news high short interest i think it will blow up soonup up,2021-07-11 12:36:51
oib1vb,my buddy has been painting a comic series i thought this one fit here,2021-07-11 12:36:56
oib2k9,loading up on fhn tomorrow,2021-07-11 12:38:03
oib2mf,taco the next squeeze nothing but good news high short interest i think it will blow up soonup up meme,2021-07-11 12:38:09
oib2si,to those wondering why clov continues to fall source high short interestcom,2021-07-11 12:38:25
oib30o,you guys made it on the barrons,2021-07-11 12:38:48
oib4g7,spy,2021-07-11 12:41:01
oib5m7,alien invasion confirmed by sir richard branson hear the qampa founder of virgin galactic time to put on,2021-07-11 12:42:48
oib6l8,the state of the meme a ta of all your favorite amazing cant possibly fail investments gme amc bb bbby clov spce rkt woof,2021-07-11 12:44:23
oib73m,for those wondering why clov in being held down crazy short interest on most meme stocks source highshortinterestcom and marketwatchcom,2021-07-11 12:45:09
oib7et,$wish battleground stock week of,2021-07-11 12:45:38
oib7wi,big dubs the man elon got a ticket on virgin version of baldy boi bezos space plane,2021-07-11 12:46:25
oibb4k,alien invasion confirmed by sir richard branson hear the qampa founder of virgin galactic time to put on,2021-07-11 12:51:23
oibbr1,$wkhs and the upcoming drone revolution,2021-07-11 12:52:18
oibbwh,$hgen potential bagger in the making,2021-07-11 12:52:32
oibd7s,sunday nights are when the fun starts,2021-07-11 12:54:28
oibdlm,uniswap price movement relative to lp sizetotal on uniswap is there a correlation,2021-07-11 12:55:03
oibe3b,$spce short squeeze,2021-07-11 12:55:45
oibeoh,dar a play on biofuels and food inflation technically sweet,2021-07-11 12:56:40
oibetv,hmc,2021-07-11 12:56:53
oibg1b,solar first ğŸš€ğŸš€,2021-07-11 12:58:45
oibjum,okay but for real tho were all guilty of this ğŸ˜­ğŸ˜‚,2021-07-11 13:04:25
oibjzm,well fuck,2021-07-11 13:04:37
oibkky,whats going on with amc,2021-07-11 13:05:30
oibl2y,okay but for real there we are all guilty of this right here ğŸ¤£ğŸ¤£,2021-07-11 13:06:15
oibld0,uniswap price movement relative to lp sizetotal on exchange is there a correlation,2021-07-11 13:06:40
oibmtz,spce yolo tomorrow there will be a flight not to the moon but to another galaxyğŸš€ğŸš€ğŸš€ğŸš€ğŸš€ğŸš€,2021-07-11 13:08:51
oibmuz,saw one of you retards today,2021-07-11 13:08:54
oibmw9,chance $amc,2021-07-11 13:08:57
oibnzo,posts keep being deleted,2021-07-11 13:10:30
oibqeu,save the dates,2021-07-11 13:14:19
oibqpb,save the date,2021-07-11 13:14:44
oibr1m,â™»ï¸,2021-07-11 13:15:14
oibr41,micron technologyğŸš€ğŸš€ğŸš€ğŸš€ğŸš€ğŸš€,2021-07-11 13:15:20
oibsiu,wkhs yolo,2021-07-11 13:17:27
oibul9,selling naked call options truly one of us,2021-07-11 13:20:35
oibvpn,get into $tal and $edu while you still can,2021-07-11 13:22:24
oibw54,$wish battleground stock week of,2021-07-11 13:23:05
oibxx4,we have been here before ğŸ’ğŸ¤š,2021-07-11 13:25:48
oibxz8,negg bulls cramer is literally telling you its a pampd theyre bags dont be a sheep,2021-07-11 13:25:53
oiby9x,spce,2021-07-11 13:26:22
oibyzf,is it just me or does the quality of posts seem to be on the rise,2021-07-11 13:27:30
oibzp5,negg bulls cramer is literally telling you its a pampd theyre bags dont be a sheep,2021-07-11 13:28:41
oibzrk,wkhs yolo,2021-07-11 13:28:48
oic310,tsla yolo,2021-07-11 13:33:55
oic3px,options trading advice,2021-07-11 13:35:04
oic3u8,flash crashes for the common ape,2021-07-11 13:35:16
oic8ns,shen,2021-07-11 13:42:50
oic96r,spce and elon do i really need to say more,2021-07-11 13:43:40
oic9bn,get ready retards,2021-07-11 13:43:53
oic9p6,spce,2021-07-11 13:44:27
oicat3,attention our destination is now way pass the moon select your spaceship and buckle up,2021-07-11 13:46:06
oicbz7,shen,2021-07-11 13:47:58
oicc51,negg,2021-07-11 13:48:12
oiccau,clov is not just a short term squeeze stock its a long term dream stock,2021-07-11 13:48:28
oicdsp,where to learn to write a solid dd,2021-07-11 13:50:59
oice05,potential gainer sava went from to $ within a couple months with just trials gtpredictive oncologylt will be the future amazon of biotech a hidden gem ğŸ™ŒğŸ¼,2021-07-11 13:51:19
oicf2z,big hack,2021-07-11 13:52:58
oicg63,clov is a dream stock,2021-07-11 13:54:45
oichvs,ğŸ€ the dream stock,2021-07-11 13:57:37
oici1i,$wish potential options squeeze dd week of,2021-07-11 13:57:55
oici40,anyone think now is a good time to buy wish or will we see it get squeezed some more before a breakout i need bull and bear opinions maybe some yolo apes too,2021-07-11 13:58:02
oickps,did i do this math right my current average win rate is with an average win of and an average loss of and im averaging trades a day it seems to me that allocating $k to this leverage strategy would yield me sextillion dollars after a year at my current rate is this right,2021-07-11 14:01:58
oicksk,yolo sofi,2021-07-11 14:02:04
oicmc0,its coming to rome,2021-07-11 14:04:34
oico23,what $spce call hodlers will see in their dreams tonight,2021-07-11 14:07:17
oicpxv,what phone app is best for investing,2021-07-11 14:10:21
oics4k,amc to da moon ğŸŒ™,2021-07-11 14:13:56
oics91,$wish large call options data week of,2021-07-11 14:14:08
oicsiw,who else got into virgingalactic friday before sir richard took his historic flight today ğŸ¤‘ğŸ¤‘ğŸ¤‘,2021-07-11 14:14:34
oict14,$stmp $ investment,2021-07-11 14:15:20
oiculc,ğŸŒ•our token is almost doneğŸš€ğŸš€,2021-07-11 14:17:52
oicum1,nah nah babe were holding blue chips its a super safe portfolioâ€¦,2021-07-11 14:17:54
oicur2,never sell,2021-07-11 14:18:09
oicwvv,depressed need a win,2021-07-11 14:21:32
oicxww,hodl,2021-07-11 14:23:06
oid0kw,massive squeeze potential at tempest therapeutics tpst on monday,2021-07-11 14:27:26
oid11c,anyone else holding nio new trader here,2021-07-11 14:28:11
oid3qy,a cool museum exhibit i was at the pink palace in memphis tn,2021-07-11 14:32:39
oid5yl,wsb at the pink palace in memphis tn,2021-07-11 14:36:24
oid7fg,stock for monday,2021-07-11 14:38:53
oid7ox,beat cancer together $tpst,2021-07-11 14:39:20
oid7wi,wnw,2021-07-11 14:39:40
oid9wf,okay so these are my plays for monday pls go my way i will see you guys on the moon ğŸš€ğŸŒ™ i have no more money to spend bc i used all of it up k total yolo in spce,2021-07-11 14:43:08
oidbu0,new to investing guidance is requested,2021-07-11 14:46:29
oidcgs,karma moass,2021-07-11 14:47:34
oiddin,amd stock $ target from goldman sachs,2021-07-11 14:49:33
oiddkb,hey i need a friend wife left me stocks was the issueâ€¦ fat etcâ€¦,2021-07-11 14:49:38
oidesb,im new to trading and need help what should i put all my money into,2021-07-11 14:51:50
oidid5,downside up,2021-07-11 14:57:38
oidihz,karmaapesmoassğŸ’ªğŸ¦ğŸ¦ğŸ¦ğŸ™ŒğŸ’,2021-07-11 14:57:50
oidiqz,wkhs to the moon,2021-07-11 14:58:12
oidizp,im going to say this one time,2021-07-11 14:58:35
oidjta,thank goodness i held through on friday we mooning ğŸŒ™ğŸŒ™ğŸŒ™,2021-07-11 14:59:48
oidkt1,sien fake boobs to the moon,2021-07-11 15:01:04
oidodv,rocket labs ğŸš€ğŸ‘¨â€ğŸ”¬ vacq sends congratulations ğŸ¾ğŸ‰ to richard branson amp virgin galactic,2021-07-11 15:06:11
oidpuc,another autismobile waiting on clov to harvest tendies,2021-07-11 15:08:19
oidqyl,hey need a friend wife left meâ€¦ stocksbeing fat is reasonâ€¦,2021-07-11 15:09:55
oidrfo,$wish large of call options expiring week of,2021-07-11 15:10:38
oidsuy,they talkin shit bout apes cant save blackberry what we goin do apes,2021-07-11 15:12:45
oidu7c,short squuze,2021-07-11 15:14:50
oidup6,short squuze amc,2021-07-11 15:15:33
oidy68,i tried to make this short but mod said no,2021-07-11 15:20:38
oidzq1,autist zoomer ape predict massive move incoming for blackberry $bb,2021-07-11 15:22:53
oie2lz,market perspective recent trends and performance in charts,2021-07-11 15:27:07
oie35t,this belongs here,2021-07-11 15:27:55
oie3gn,i tried to make this short but mod said no,2021-07-11 15:28:21
oie625,the green $mile how metromile is about to blast off out of tech sector death row,2021-07-11 15:32:07
oiebv0,amc we must eliminate the fake shares that are mixed in with the real shares of amc,2021-07-11 15:40:45
oiecvy,catalina wine moass,2021-07-11 15:42:17
